run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_cost[photometric],interaction_matrix_type[current|desired|mean],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-11T14:33:59,data/playroom/images/DSC05639.jpg,"[-4.475277900695801, 1.050836205482483, -3.07582688331604, -1.33357834815979, 0.5442309975624084, -0.7638301253318787]","[-4.162322521209717, 1.0090281963348389, -3.3058104515075684, -1.4496433734893799, 0.5902476906776428, -0.7633894085884094]",Failed,200,"[-4.406491279602051, 0.9319676160812378, -2.722116708755493, -1.428161859512329, 0.5557920336723328, -0.7819818258285522]",241901232.1930368,current,"[-0.06878662109375, 0.11886858940124512, -0.3537101745605469]","[0.09458351135253906, -0.011561036109924316, 0.018151700496673584]",0.3794367251273781,0.0872588337362074
2026-03-11T14:34:37,data/playroom/images/DSC05590.jpg,"[-3.2695865631103516, 1.4456467628479004, -3.167814254760742, 1.4220614433288574, 1.1107289791107178, 1.6466435194015503]","[-2.9733028411865234, 1.5338592529296875, -2.9778895378112793, 1.4738390445709229, 1.0640127658843994, 1.5877394676208496]",Failed,200,"[-4.01935338973999, 1.5105106830596924, -2.0254721641540527, 1.772795557975769, 1.0378438234329224, 1.8638628721237183]",741770368.8934281,current,"[0.7497668266296387, -0.06486392021179199, -1.1423420906066895]","[-0.3507341146469116, 0.07288515567779541, -0.21721935272216797]",1.3679558013441744,0.20328130911824763
2026-03-11T14:35:07,data/playroom/images/DSC05678.jpg,"[-1.1136949062347412, -0.2880478799343109, -0.22277987003326416, -1.5001626014709473, 0.44569236040115356, -1.2843685150146484]","[-1.2128452062606812, -0.2606612741947174, -0.21590277552604675, -1.5351853370666504, 0.4067320227622986, -1.1898269653320312]",Success,151,"[-1.3491488695144653, 0.05369395762681961, -0.5475226044654846, -1.455406665802002, 0.38736212253570557, -1.3305995464324951]",468057351.2847212,current,"[0.23545396327972412, -0.3417418375611305, 0.32474273443222046]","[-0.04475593566894531, 0.058330237865448, 0.04623103141784668]",0.5269572050274135,0.0959992520116138
2026-03-11T14:35:10,data/playroom/images/DSC05641.jpg,"[-3.0602684020996094, 1.0138071775436401, -3.219647169113159, 0.2460869550704956, -0.1300412118434906, -1.6923766136169434]","[-2.879009246826172, 0.9576045274734497, -3.3066799640655518, 0.23692983388900757, -0.12288786470890045, -1.6796513795852661]",Success,15,"[-2.631720542907715, 1.025098204612732, -3.279705286026001, 0.2864806652069092, -0.12123028934001923, -1.6425940990447998]",552213312.7149627,current,"[-0.42854785919189453, -0.011291027069091797, 0.0600581169128418]","[-0.040393710136413574, -0.008810922503471375, -0.049782514572143555]",0.43288304692762847,0.06849218954013261
2026-03-11T14:35:32,data/playroom/images/DSC05632.jpg,"[1.6096314191818237, 1.0973036289215088, -1.5626455545425415, 0.7427878379821777, -1.168723225593567, -1.5278294086456299]","[1.7175376415252686, 1.186871886253357, -1.570296287536621, 0.6833429932594299, -1.0633318424224854, -1.5038002729415894]",Success,100,"[1.731216549873352, 0.6774728894233704, -1.324874997138977, 0.8155682682991028, -1.2005856037139893, -1.6357638835906982]",213051476.80717853,current,"[-0.12158513069152832, 0.4198307394981384, -0.23777055740356445]","[-0.07278043031692505, 0.03186237812042236, 0.10793447494506836]",0.4975697255670119,0.05835289321103901
2026-03-11T14:36:08,data/playroom/images/DSC05686.jpg,"[1.5119001865386963, -0.726080060005188, 1.5257847309112549, 0.4988270103931427, 0.9321917295455933, 1.3475120067596436]","[1.6522470712661743, -0.7960650324821472, 1.3822344541549683, 0.48807960748672485, 0.9692639112472534, 1.4418070316314697]",Failed,200,"[1.2887622117996216, -0.593555212020874, 2.0107271671295166, 0.5852117538452148, 1.03021240234375, 1.3583312034606934]",396280024.96858156,current,"[0.2231379747390747, -0.13252484798431396, -0.4849424362182617]","[-0.08638474345207214, -0.09802067279815674, -0.010819196701049805]",0.5500205064806442,0.12500831180056154
2026-03-11T14:36:29,data/playroom/images/DSC05700.jpg,"[1.936938762664795, 1.9082388877868652, -0.5619044303894043, 0.6671366691589355, 0.553315281867981, -1.3862086534500122]","[1.9720479249954224, 1.7212589979171753, -0.5529239177703857, 0.6700513362884521, 0.5233334302902222, -1.505651593208313]",Success,103,"[2.2133402824401855, 1.7890595197677612, -0.4360116422176361, 0.710594892501831, 0.547507107257843, -1.4032059907913208]",529352139.38572574,current,"[-0.2764015197753906, 0.119179368019104, -0.1258927881717682]","[-0.04345822334289551, 0.0058081746101379395, 0.016997337341308594]",0.3262675527986814,0.0546253816395743
2026-03-11T14:36:33,data/playroom/images/DSC05803.jpg,"[-1.0372475385665894, -0.8262447714805603, 0.13230478763580322, 2.207407236099243, 0.4819032549858093, -1.7421787977218628]","[-1.1381309032440186, -0.8605151772499084, 0.13197825849056244, 2.343083620071411, 0.5252746343612671, -1.7025200128555298]",Success,26,"[-0.48375117778778076, -1.0366666316986084, -0.6184310913085938, 2.0844547748565674, 0.47477012872695923, -1.8048958778381348]",417790058.8256994,current,"[-0.5534963607788086, 0.2104218602180481, 0.750735878944397]","[0.12295246124267578, 0.007133126258850098, 0.06271708011627197]",0.9561589515281573,0.10953822224978267
2026-03-11T14:37:08,data/playroom/images/DSC05705.jpg,"[-2.8198859691619873, 0.6919413208961487, 3.3945159912109375, -1.8589417934417725, 0.4334145784378052, -1.6512477397918701]","[-2.559135913848877, 0.7250837087631226, 3.5739660263061523, -1.731034755706787, 0.3987370729446411, -1.7415298223495483]",Failed,200,"[-1.4161174297332764, 1.85432767868042, 2.4006612300872803, -1.5464314222335815, 0.39859476685523987, -1.826735019683838]",1112434131.306463,current,"[-1.403768539428711, -1.1623863577842712, 0.9938547611236572]","[-0.3125103712081909, 0.03481981158256531, 0.17548727989196777]",2.0759227931840245,0.41686171865998034
2026-03-11T14:37:42,data/playroom/images/DSC05612.jpg,"[1.7381905317306519, -1.2985646724700928, 1.6286336183547974, 2.7091116905212402, -0.10308341681957245, 3.108478546142578]","[1.5667001008987427, -1.2147939205169678, 1.7230490446090698, 2.4940361976623535, -0.10481732338666916, 3.053614377975464]",Failed,200,"[-1.5103874206542969, -0.5693249106407166, 1.4872435331344604, 2.6471431255340576, 0.23980648815631866, 2.885188341140747]",260696064.9950933,current,"[3.2485779523849487, -0.7292397618293762, 0.14139008522033691]","[0.06196856498718262, -0.3428899049758911, 0.22329020500183105]",3.332422617129041,0.4108882083473401
2026-03-11T14:37:43,data/playroom/images/DSC05691.jpg,"[-2.349872589111328, 2.344310998916626, -1.3249989748001099, 0.11626428365707397, 0.8729490637779236, -1.4688800573349]","[-2.390960931777954, 2.5645911693573, -1.313107967376709, 0.11006474494934082, 0.9158062934875488, -1.4761754274368286]",Success,5,"[-2.301473379135132, 2.7305731773376465, -1.1038620471954346, 0.13816465437412262, 0.9416189193725586, -1.456371784210205]",424824877.66389847,current,"[-0.04839920997619629, -0.3862621784210205, -0.2211369276046753]","[-0.021900370717048645, -0.06866985559463501, -0.012508273124694824]",0.4477080463374627,0.07014031077431768
2026-03-11T14:37:59,data/playroom/images/DSC05804.jpg,"[-1.9976105690002441, -0.6418123245239258, -0.060822758823633194, 2.119558572769165, 0.5983859896659851, -1.8914985656738281]","[-2.0162243843078613, -0.6056987643241882, -0.06162528693675995, 2.308842420578003, 0.5677710175514221, -1.7595878839492798]",Success,95,"[-1.5909589529037476, -1.1532472372055054, -1.1670680046081543, 1.9066569805145264, 0.5971895456314087, -2.0221850872039795]",479498349.52300185,current,"[-0.4066516160964966, 0.5114349126815796, 1.106245245784521]","[0.21290159225463867, 0.001196444034576416, 0.13068652153015137]",1.284799498211438,0.17619468684420556
